size_bytes, forward, backward, random
1024, 3.92848, 3.83108, 3.90636
1536, 3.92541, 3.90151, 3.78612
2048, 3.92660, 4.01234, 3.78514
3072, 3.76680, 3.77623, 3.77294
4096, 3.84111, 3.87386, 3.92521
6144, 3.81451, 3.81664, 3.92977
8192, 3.81483, 3.81557, 3.92336
12288, 3.81472, 3.81752, 3.93009
16384, 3.81542, 3.81730, 3.93079
24576, 3.81537, 3.81729, 3.92825
32768, 3.81519, 3.81715, 3.92278
49152, 3.81543, 3.81713, 3.90373
65536, 3.79918, 3.79989, 3.92517
98304, 3.79609, 3.79697, 3.92556
131072, 3.79402, 3.79466, 3.92746
196608, 3.79252, 3.79312, 3.93064
262144, 3.79164, 3.79234, 3.93435
393216, 3.79074, 3.79152, 3.94038
524288, 3.78980, 3.79043, 3.94763
786432, 3.78919, 3.78989, 3.95864
1048576, 3.78868, 3.78944, 3.97302
1572864, 3.78811, 3.78888, 4.00305
2097152, 3.78758, 3.78834, 4.04784
3145728, 3.78710, 3.78785, 4.17292
4194304, 3.78670, 3.78735, 4.45783
6291456, 3.91358, 3.92461, 29.84076
8388608, 3.78637, 3.77320, 37.44050
12582912, 3.79827 ,3.92472, 40.72770
16777216, 3.78457 ,3.80390, 47.45410
25165824, 3.95297, 3.92476, 200.79000
33554432, 3.89084, 3.88301, 324.80100